Day,Mean Pressure (hPa),Absolute Daily Max (deg. C),Mean (deg. C),Absolute Daily Min (deg. C),Mean Dew Point (deg. C),Mean Relative Humidity (%),Mean Amount of Cloud (%),Total Rainfall (mm)
1,1021.7,20.8,19.2,18.4,15.6,80,72,0
2,1020.2,23.3,20.2,18.4,16.7,81,28,0
3,1019.8,21.3,20,18.9,17.1,83,56,0
4,1018.7,21.7,19.9,18.7,16.3,80,51,0
5,1016.9,23.4,21.1,18.9,17.5,80,61,0
6,1015.1,25,21.6,19.7,17.8,80,43,0
7,1013.9,22.8,21.1,19.7,17.3,79,68,0
8,1013.4,25.5,22.6,20.5,18.1,76,50,0
9,1016.3,21.8,20.6,19.7,16.7,78,66,0
10,1018.1,20.5,19.4,18.8,15.7,79,72,0
11,1018.1,19.7,19.1,18.2,15.4,80,86,0
12,1015.5,20.3,19,16.9,15.7,81,93,Trace
13,1015.7,17.1,15.9,15.1,13.1,84,88,0.5
14,1017.9,16.5,15.7,14.5,13.5,87,92,1
15,1020.5,16.8,15.5,14.3,13,85,100,1.5
16,1020.4,17.4,16.3,14.7,12.9,80,93,0.4
17,1021.1,19.2,18,16.7,13.7,76,88,0
18,1021.2,20,18.9,18,16.5,86,88,Trace
19,1020.1,24.1,20.4,18.7,17.6,85,76,0
20,1022.4,20.6,18.3,16.2,12.3,69,51,Trace
21,1025.3,19,16.7,14.6,10.6,67,35,0
22,1026.1,19.8,16.4,13.6,7.9,58,9,0
23,1025.7,19.4,16.8,15.2,11.4,71,61,0
24,1025.4,18.9,17,15.7,11.9,72,79,0
25,1025.5,20.9,17.5,15.9,13.3,76,42,0
26,1024.3,19.8,17.3,16.2,12.8,75,45,0
27,1022.6,21.3,17.5,14.4,11.3,69,13,0
28,1018.6,18.8,17.3,16.4,13.5,79,78,0.3
29,1016.6,21.5,19.1,18.1,17,88,88,2.4
30,1018.2,23.4,20.2,17.4,18.4,90,88,1.2
31,1020.2,17.6,16.7,15.9,14.6,87,88,0.5
Mean/Total,1019.8,20.6,18.5,17,14.7,79,66,7.8
Normal,1020.3,18.6,16.3,14.5,11.4,74,61,24.7
